gvkey	gvkeyx	from	thru	tic	co_conm	co_tic	co_cusip
010581	000003	19640331	20010806	I0003	TIMKEN CO	TKR	887389104
008151	000003	19640331	20010829	I0003	ONEOK INC	OKE	682680103
010482	000003	19640331	20011009	I0003	TEXACO INC	TX.2	881694103
006127	000003	19640331	20011129	I0003	ENRON CORP	ENRNQ	293561106
005686	000003	19640331	20011216	I0003	HOMESTAKE MINING	HM	437614100
004510	000003	19640331	20020101	I0003	FMC CORP	FMC	302491303
006307	000003	19640331	20020116	I0003	SEARS HOLDINGS CORP	SHLD	482584109
007180	000003	19640331	20020129	I0003	MEAD CORP	MEA.1	582834107
007892	000003	19640331	20020131	I0003	NIAGARA MOHAWK HOLDINGS INC	NMK	653520106
001243	000003	19640331	20020721	I0003	ALCAN INC	AL.1	013716105
005905	000003	19640331	20020721	I0003	INCO LTD	INCLF	453258402
009267	000003	19640331	20020721	I0003	ROYAL DUTCH PETROLEUM NV	RDPL	780257804
010846	000003	19640331	20020721	I0003	UNILEVER NV	UN	904784709
010301	000003	19640331	20021211	I0003	TRW INC	TRW.1	872649108
001045	000003	19640331	20030313	I0003	AMERICAN AIRLINES GROUP INC	AAL	001765106
005735	000003	19640331	20030330	I0003	HSBC FINANCE CORP	HBC1	441815107
007536	000003	19640331	20030415	I0003	PHARMACIA CORP	PHA.1	71713U102
011535	000003	19640331	20041202	I0003	WINN-DIXIE STORES INC	WINN	974280109
003580	000003	19640331	20041219	I0003	CRANE CO	CR	224399105
009563	000003	19640331	20050327	I0003	SEARS ROEBUCK & CO	S.1	812387108
011038	000003	19640331	20050810	I0003	UNOCAL CORP	UCL	915289102
007127	000003	19640331	20050828	I0003	MAY DEPARTMENT STORES CO	MAY.2	577778103
005169	000003	19640331	20051002	I0003	GILLETTE CO	G.1	375766102
001581	000003	19640331	20051120	I0003	AT&T CORP	T.2	001957505
005134	000003	19640331	20051219	I0003	GEORGIA-PACIFIC CORP	GP.1	373298108
003734	000003	19640331	20060302	I0003	DANA INC	DAN	235811106
007139	000003	19640331	20060402	I0003	MAYTAG CORP	MYG.1	578592107
006081	000003	19640331	20061219	I0003	NAVISTAR INTERNATIONAL CORP	NAV	63934E108
008470	000003	19640331	20070221	I0003	PEOPLES ENERGY CORP	PGL.1	711030106
008536	000003	19640331	20070319	I0003	PHELPS DODGE CORP	PD	717265102
010507	000003	19640331	20071009	I0003	ENERGY FUTURE HOLDINGS CORP	0033A	873168108
011609	000003	19640331	20081006	I0003	WRIGLEY (WM) JR CO	WWY	982526105
002504	000003	19640331	20081110	I0003	UNISYS CORP	UIS	909214306
005589	000003	19640331	20081113	I0003	HERCULES INC	HPC	427056106
005073	000003	19640331	20090602	I0003	GENERAL MOTORS CO	GM	62010A105
005959	000003	19640331	20090630	I0003	INGERSOLL-RAND PLC	IR	G47791101
003497	000003	19640331	20090908	I0003	COOPER INDUSTRIES PLC	CBE	G24140108
001478	000003	19640331	20091015	I0003	WYETH	WYE	983024100
009459	000003	19640331	20091103	I0003	SCHERING-PLOUGH	SGP	806605101
002490	000003	19640331	20100215	I0003	BURLINGTON NORTHERN SANTA FE	BRK3	12189T104
004194	000003	19640331	20101219	I0003	EASTMAN KODAK CO	KODK	277461109
005860	000003	19640331	20111031	I0003	ITT INC	ITT	45073V108
001995	000003	19640331	20120313	I0003	CONSTELLATION ENERGY GRP INC	CEG	210371100
005229	000003	19640331	20120730	I0003	GOODRICH CORP	GR	382388106
005568	000003	19640331	20130606	I0003	KRAFT HEINZ CO	KHC	423074103
008446	000003	19640331	20131201	I0003	PENNEY (J C) CO	JCP	708160106
001408	000003	19640331	20140430	I0003	BEAM INC	BEAM	073730103
011446	000003	19640331	20150701	I0003	MEADWESTVACO CORP	MWV	583334107
001356	000003	19640331	20161031	I0003	ALCOA INC	AA.3	013817507
008606	000003	19640331	20170228	I0003	PITNEY BOWES INC	PBI	724479100
001976	000003	19640331	20170704	I0003	BAKER HUGHES INC	BHI	057224107
009667	000003	19640630		I0003	SHERWIN-WILLIAMS CO	SHW	824348106
010576	000003	19640630	20010115	I0003	TIME WARNER INC-OLD	TWX.1	887315109
011274	000003	19640930	19871130	I0003	WALTER (JIM) CORP	JWC.	933169104
005824	000003	19640930	19980129	I0003	PEPSIAMERICAS INC	PAS	71343P200
003650	000003	19650331		I0003	CUMMINS INC	CMI	231021106
004321	000003	19650331		I0003	EMERSON ELECTRIC CO	EMR	291011104
009465	000003	19650331		I0003	SCHLUMBERGER LTD	SLB	806857108
006276	000003	19650331	19840930	I0003	JONATHAN LOGAN INC	JOL.	479898108
005321	000003	19650630	19970701	I0003	GREAT WESTERN FINANCIAL	GWF.	391442100
001596	000003	19651231	19840930	I0003	AMERIFIN CORP	AFN.3	030901102
007155	000003	19651231	19970803	I0003	MCDONNELL DOUGLAS CORP	MD.1	580169100
010580	000003	19651231	20000612	I0003	TIMES MIRROR CO  -SER A	TMC	887364107
007099	000003	19660630	19960905	I0003	VARITY CORP	VAT	92224R602
004189	000003	19660930	20001101	I0003	EASTERN ENTERPRISES	EFU.1	27637F100
010490	000003	19661231	19890331	I0003	TEXAS EASTERN CORP	PEL4	882387103
002729	000003	19661231	19960211	I0003	CAPITAL CITIES/ABC INC	CCB.2	139859102
010391	000003	19670331	20071115	I0003	TEKTRONIX INC	TEK.1	879131100
009104	000003	19670630	19851031	I0003	REVLON INC  -OLD	4640A	76199X009
002987	000003	19670630	19870131	I0003	CHESEBROUGH-POND'S INC	CBM.4	165339102
005361	000003	19670630	19940415	I0003	GRUMMAN CORP	GQ.1	400181103
001608	000003	19670630	19990404	I0003	AMP INC	AMP.2	031897101
001920	000003	19670630	20150322	I0003	AVON PRODUCTS	AVP	054303102
002574	000003	19670930		I0003	CSX CORP	CSX	126408103
004521	000003	19670930	19840731	I0003	FABERGE INC	FBG.	30299Y102
